Subject,Predicate,Object,Annotation,BatchID,BatchTime,BatchDate
http://dbpedia.org/resource/David_Robbins_(artist),http://dbpedia.org/ontology/birthYear,1957,Correct,0,930.7906470298768,10
http://dbpedia.org/resource/David_Robbins_(artist),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1957_births,Correct,0,930.7906470298768,10
http://dbpedia.org/resource/David_Robbins_(artist),http://dbpedia.org/ontology/abstract,"David Robbins (born 1957 in Whitefish Bay, Wisconsin) is an artist and writer who was one of the first to investigate the art world's entrance into the culture industry.For three decades, in artworks and writing David Robbins has promoted a frank, unapologetic recognition of the contemporary overlap between the art and entertainment contexts. His work Talent, eighteen ""entertainer's headshots"" of contemporary artists including Cindy Sherman, Jeff Koons, Jenny Holzer, Allan McCollum and others, is widely credited with announcing the age of the celebrity artist, and The Ice Cream Social (1993-2008), a multi-platform project comprising a TV pilot for the Sundance Channel, a novella, installations, ceramics, and performance, has been cited by curator Hans Ulrich Obrist as pioneering the ""expanded exhibition."" In its totality The Ice Cream Social represents an emphatically American version of some of the exhibition strategies employed by artists associated with relational aesthetics.Progressively evolving away from the prevailing model of the professional contemporary artist, in his books High Entertainment (2009) and Concrete Comedy: An Alternative History of Twentieth-Century Comedy (2011) he identified and advanced other categories of imaginative endeavor. In 2000 he withdrew from active participation in the art world in order to discover how his imagination performed when not formatted to produce art, and began using the term ""independent imagination"" in place of ""artist.""  Subsequently relocating to Milwaukee he aligned his work with contexts and formats historically forsaken by the avant garde, positing the suburb as a frontier for art production and creating TV commercials for galleries. His work was featured in the 2014 Whitney Biennial.",Incorrect,0,930.7906470298768,10
http://dbpedia.org/resource/David_Robbins_(artist),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Living_people,Correct,0,930.7906470298768,10
http://dbpedia.org/resource/David_Robbins_(artist),http://dbpedia.org/ontology/birthDate,1957,Correct,0,930.7906470298768,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:English-language_magazines,Correct,1,662.9278259277344,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Former_Time_Warner_subsidiaries,Correct,1,662.9278259277344,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:American_news_magazines,Correct,1,662.9278259277344,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:American_weekly_magazines,Correct,1,662.9278259277344,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Canadian_news_magazines,Incorrect,1,662.9278259277344,10
http://dbpedia.org/resource/Sinnathamby_Sivamaharajah,http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/resource/Jaffna,Correct,2,304.2734911441803,10
http://dbpedia.org/resource/Sinnathamby_Sivamaharajah,http://dbpedia.org/property/birthPlace,http://dbpedia.org/resource/Jaffna,Correct,2,304.2734911441803,10
http://dbpedia.org/resource/Sinnathamby_Sivamaharajah,http://dbpedia.org/property/deathPlace,http://dbpedia.org/resource/Jaffna,Correct,2,304.2734911441803,10
http://dbpedia.org/resource/Sinnathamby_Sivamaharajah,http://dbpedia.org/property/placeOfDeath,http://dbpedia.org/resource/Jaffna,Correct,2,304.2734911441803,10
http://dbpedia.org/resource/Bhanubhakta_Acharya,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Tanahun_District,I Don't Know,3,358.494882106781,10
http://dbpedia.org/resource/Le_Matin_du_Sahara_et_du_Maghreb,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/French_language,Correct,4,478.1769759654999,10
http://dbpedia.org/resource/Le_Matin_du_Sahara_et_du_Maghreb,http://dbpedia.org/ontology/sisterNewspaper,http://dbpedia.org/resource/Assahra_Al_Maghribiya,Correct,4,478.1769759654999,10
http://dbpedia.org/resource/Le_Matin_du_Sahara_et_du_Maghreb,http://dbpedia.org/property/headquarters,http://dbpedia.org/resource/Casablanca,Correct,4,478.1769759654999,10
http://dbpedia.org/resource/Lara_Logan,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Overseas_Press_Club,Correct,5,241.9669828414917,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://xmlns.com/foaf/0.1/name,"Abu Zahra, Imad",Correct,6,424.31941390037537,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://dbpedia.org/property/float,left,Incorrect,6,424.31941390037537,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:2002_deaths,Correct,6,424.31941390037537,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://dbpedia.org/property/nationality,Palestinian,Correct,6,424.31941390037537,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Journalist,Correct,6,424.31941390037537,10
